SI,Name,Manufacturer,Location,Fuel_Type,Transmission,Owner_Type,Engine CC,Power,Seats,Mileage Km/L,Price,Year,Kilometers_Driven
1216,Honda City i-VTEC S,Honda,Delhi,Petrol,Manual,First,1497,117.3,5,17.4,3.57,2010,76752
1217,Honda City ZX GXi,Honda,Mumbai,Petrol,Manual,Second,1497,78,5,17.7,1.25,2005,56000
1218,Maruti Wagon R LXI CNG,Maruti,Pune,CNG,Manual,First,998,58.2,5,26.2,3.65,2015,70000
1219,Honda CR-V 2.4L 4WD AT AVN,Honda,Kolkata,Petrol,Automatic,Second,2354,187.4,5,12,12.5,2013,46125
1220,BMW 5 Series 2013-2017 520d Luxury Line,BMW,Ahmedabad,Diesel,Automatic,Second,1995,190,5,18.12,23,2014,35000
1221,Ambassador Classic Nova Diesel,Ambassador,Chennai,Diesel,Manual,Third,1489,35.5,5,12.8,1.35,2003,80000
1222,Mahindra Scorpio VLX 2.2 mHawk BSIII,Mahindra,Coimbatore,Diesel,Manual,First,2179,120,8,12.05,6.32,2012,62729
1223,Volkswagen Vento Diesel Comfortline,Volkswagen,Kolkata,Diesel,Manual,First,1598,103.6,5,20.54,3.4,2012,34000
1224,Maruti Zen VX,Maruti,Jaipur,Petrol,Manual,Second,993,60,5,17.3,0.77,1999,70000
1225,Maruti 800 DX BSII,Maruti,Jaipur,Petrol,Manual,First,796,37,4,16.1,0.9,2009,32000
1226,Toyota Corolla Altis 1.8 VL CVT,Toyota,Delhi,Petrol,Automatic,First,1798,138.03,5,14.28,18,2017,21000
1227,BMW 3 Series 328i Sport Line,BMW,Pune,Petrol,Automatic,First,1997,245,5,14.59,19,2013,49000
1228,Ford Ikon 1.3 Flair,Ford,Chennai,Petrol,Manual,Third,1299,70,5,13.8,1.1,2007,40000
1229,Chevrolet Beat LT,Chevrolet,Pune,Petrol,Manual,Second,1199,79.4,5,18.6,2,2012,78000
1230,Toyota Corolla Altis 1.4 DG,Toyota,Ahmedabad,Diesel,Manual,First,1364,86.79,5,21.43,6.5,2012,52000
1231,Mahindra XUV500 W4,Mahindra,Bangalore,Diesel,Manual,First,2179,140,7,16,9.45,2014,65213
1232,Hyundai Xcent 1.1 CRDi Base,Hyundai,Mumbai,Diesel,Manual,First,1120,71,5,24.4,4,2016,170000
1233,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,MercedesBenz,Kochi,Diesel,Automatic,First,2143,204,5,13,32.25,2017,36884
1234,Hyundai i10 Sportz,Hyundai,Pune,Petrol,Manual,First,1197,78.9,5,20.36,2.1,2009,62500
1235,Toyota Corolla Altis VL AT,Toyota,Mumbai,Petrol,Automatic,Second,1798,138.03,5,14.28,9.75,2015,68000
1236,Toyota Corolla 1.8 J,Toyota,Kolkata,Petrol,Manual,First,1798,138,5,14.53,6.3,2014,40748
1237,Audi Q3 2.0 TDI Quattro,Audi,Hyderabad,Diesel,Automatic,First,1968,184,5,17.32,21,2013,60000
1238,Hyundai i20 Magna Optional 1.4 CRDi,Hyundai,Mumbai,Diesel,Manual,First,1396,88.8,5,21.9,4.65,2014,12400
1239,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,MercedesBenz,Mumbai,Diesel,Automatic,Second,2143,167.62,5,19.27,17,2013,87000
1240,Maruti Ritz VDi,Maruti,Pune,Diesel,Manual,First,1248,73.9,5,21.1,4.35,2013,20248
1241,Hyundai Creta 1.6 SX Plus Diesel,Hyundai,Coimbatore,Diesel,Manual,First,1582,126.2,5,19.67,14.82,2017,52383
1242,Jaguar XE 2.0L Diesel Prestige,Jaguar,Delhi,Diesel,Automatic,First,1999,177,5,13.6,40,2018,1000
1243,Mahindra Xylo D4,Mahindra,Chennai,Diesel,Manual,First,2489,93.7,7,14.95,6.15,2016,85000
1244,Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,Ahmedabad,Diesel,Manual,First,2494,100.6,7,12.99,11.25,2014,47000
1245,Toyota Camry 2.5 Hybrid,Toyota,Pune,Petrol,Automatic,First,2494,157.7,5,19.16,32,2018,17585
1246,Audi Q5 3.0 TDI Quattro,Audi,Coimbatore,Diesel,Automatic,First,2967,241.4,5,13.22,45.62,2018,32496
1247,Maruti Swift VDI,Maruti,Kochi,Diesel,Manual,First,1248,74,5,28.4,6.24,2017,34613
1248,Maruti Ertiga VDI Limited Edition,Maruti,Chennai,Diesel,Manual,First,1248,88.76,7,20.77,4.8,2015,153000
1249,Maruti Swift VXi BSIV,Maruti,Chennai,Petrol,Manual,Second,1197,85,5,16.1,4.5,2014,54000
1250,Hyundai i10 Sportz,Hyundai,Kochi,Petrol,Manual,First,1197,78.9,5,20.36,3.87,2015,16900
1251,Hyundai i10 Sportz,Hyundai,Delhi,Petrol,Manual,First,1197,78.9,5,20.36,2.75,2013,62334
1252,Maruti Baleno Sigma 1.2,Maruti,Kochi,Petrol,Manual,First,1197,83.1,5,21.4,6.57,2018,23714
1253,Hyundai Accent Executive,Hyundai,Jaipur,Petrol,Manual,First,1495,93.7,5,16.36,2,2010,52325
1254,Honda Brio S MT,Honda,Ahmedabad,Petrol,Manual,First,1198,86.8,5,19.4,3.65,2012,50000
1255,Maruti Swift ZDi,Maruti,Hyderabad,Diesel,Manual,First,1248,74,5,22.9,6.95,2016,55746
1256,Hyundai Xcent 1.2 VTVT S,Hyundai,Bangalore,Petrol,Manual,First,1197,81.86,5,20.14,5.5,2014,54000
1257,Mahindra XUV500 W8 2WD,Mahindra,Kolkata,Diesel,Manual,First,2179,140,7,16,7,2013,43000
1258,Mercedes-Benz E-Class E250 CDI Avantgrade,MercedesBenz,Delhi,Diesel,Automatic,First,2143,201.1,5,13,24,2014,40000
1259,Land Rover Freelander 2 TD4 S,Land,Bangalore,Diesel,Automatic,Second,2179,115,5,0,11,2010,125000
1260,Mercedes-Benz New C-Class C 220 CDI Avantgarde,MercedesBenz,Bangalore,Diesel,Automatic,First,2143,170,5,19.27,32.5,2016,51944
1261,Hyundai i20 Asta 1.4 CRDi,Hyundai,Kochi,Diesel,Manual,First,1396,88.76,5,21.27,6.45,2015,46950
1262,Skoda Octavia Elegance 2.0 TDI AT,Skoda,Mumbai,Diesel,Automatic,First,1968,141,5,19.3,15.75,2015,23000
1263,Honda City 1.5 S MT,Honda,Mumbai,Petrol,Manual,First,1497,118,5,17,5.5,2014,54546
1264,Toyota Fortuner 4x2 AT,Toyota,Kochi,Diesel,Automatic,First,2982,168.5,7,12.55,19.03,2015,51535
1265,Audi Q3 2.0 TDI Quattro,Audi,Kolkata,Diesel,Automatic,First,1968,184,5,17.32,15.25,2013,45000
1266,Maruti Alto K10 2010-2014 VXI,Maruti,Hyderabad,Petrol,Manual,First,998,67.1,5,20.92,2.4,2012,46004
1267,Tata Indigo eCS LX BSIV,Tata,Chennai,Diesel,Manual,First,1396,69,5,23.03,2.3,2011,124000
1268,Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,Kochi,Diesel,Automatic,First,1968,174.33,5,17.11,14.35,2014,77395
1269,Maruti Alto 800 2016-2019 CNG LXI,Maruti,Mumbai,CNG,Manual,First,796,40.3,4,33.44,3.5,2018,10600
1270,Honda City i-VTEC CVT VX,Honda,Kochi,Petrol,Automatic,First,1497,117.3,5,18,11.97,2018,22974
1271,Hyundai Santro GLS I - Euro II,Hyundai,Jaipur,Petrol,Manual,Second,999,74,5,0,1.6,2009,89000
1272,Toyota Fortuner 2.8 2WD MT,Toyota,Ahmedabad,Diesel,Manual,First,2755,174.5,7,14.24,18.9,2015,65012
1273,Hyundai Grand i10 Sportz,Hyundai,Ahmedabad,Petrol,Manual,First,1197,82,5,18.9,5.4,2017,17125
1274,Maruti Eeco 7 Seater Standard,Maruti,Hyderabad,Petrol,Manual,First,1196,73,7,15.1,2.95,2015,90413
1275,Volkswagen Polo Petrol Highline 1.2L,Volkswagen,Bangalore,Petrol,Manual,First,1198,73.9,5,16.47,5.1,2013,37000
1276,Maruti Wagon R LXI Minor,Maruti,Jaipur,Petrol,Manual,First,1061,67,5,18.9,1.5,2006,65000
1277,Honda City 1.5 V MT,Honda,Bangalore,Petrol,Manual,First,1497,118,5,17,4.9,2011,66000
1278,Honda Civic 2010-2013 1.8 S MT,Honda,Mumbai,Petrol,Manual,First,1799,130.2,5,14.8,2.9,2010,86000
1279,Honda City 1.5 EXI,Honda,Pune,Petrol,Manual,First,1493,100,5,13,1.15,2005,98437
1280,Hyundai i20 1.2 Magna,Hyundai,Kolkata,Petrol,Manual,First,1197,80,5,18.5,2.3,2010,18000
1281,Hyundai Grand i10 CRDi Sportz Celebration Edition,Hyundai,Kochi,Diesel,Manual,First,1120,70,5,24,5.99,2018,35070
1282,Volkswagen Vento Petrol Highline AT,Volkswagen,Pune,Petrol,Automatic,Third,1598,103.6,5,14.4,3.4,2011,42000
1283,Hyundai i10 Sportz 1.2,Hyundai,Kolkata,Petrol,Manual,First,1197,78.9,5,20.36,1.7,2009,40000
1284,Hyundai i20 Asta,Hyundai,Kolkata,Petrol,Manual,First,1197,80,5,17,1.99,2009,43000
1285,Chevrolet Beat LS,Chevrolet,Pune,Petrol,Manual,First,1199,79.4,5,18.6,2.5,2012,65000
1286,Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Hyderabad,Diesel,Manual,First,1199,73.9,5,22.07,4.85,2013,74000
1287,Ford Figo Petrol LXI,Ford,Hyderabad,Petrol,Manual,First,1196,70,5,15.6,2.65,2010,51192
1288,Audi TT 2.0 TFSI,Audi,Kochi,Petrol,Automatic,First,1984,207.8,2,9.9,27.35,2014,14262
1289,Honda City i DTEC VX,Honda,Jaipur,Diesel,Manual,Second,1498,98.6,5,25.1,6.9,2015,66339
1290,Ford Figo Diesel Titanium,Ford,Hyderabad,Diesel,Manual,First,1399,68.05,5,20,3.5,2013,90200
1291,Toyota Innova 2.5 ZX Diesel 7 Seater,Toyota,Delhi,Diesel,Manual,First,2494,100.6,7,12.99,12.5,2015,57854
1292,Maruti Ciaz 1.4 AT Alpha,Maruti,Delhi,Petrol,Automatic,First,1373,91.1,5,19.12,9.2,2017,32000
1293,Hyundai Grand i10 AT Asta,Hyundai,Mumbai,Petrol,Automatic,First,1197,82,5,18.9,4.9,2015,29631
1295,Ford EcoSport 1.0 Ecoboost Titanium Plus BE,Ford,Kochi,Petrol,Manual,First,999,123.24,5,18.88,5.55,2014,54173
1296,Skoda Octavia Ambition 1.8 TSI AT,Skoda,Ahmedabad,Petrol,Automatic,First,1798,177.6,5,14.7,13.5,2014,50000
1297,Fiat Linea Emotion (Diesel),Fiat,Kolkata,Diesel,Manual,First,1248,91.7,5,20.4,2.6,2010,145000
1298,Maruti Swift Lxi BSIII,Maruti,Jaipur,Petrol,Manual,First,1298,88.2,5,16.1,4.5,2015,78000
1299,Land Rover Discovery 4 TDV6 SE,Land,Delhi,Diesel,Automatic,Second,2993,180,7,11.8,34,2013,65000
1300,Toyota Innova 2.5 V Diesel 7-seater,Toyota,Hyderabad,Diesel,Manual,First,2494,102,7,12.8,12,2012,120000
1301,Maruti Swift LDI,Maruti,Mumbai,Diesel,Manual,First,1248,74,5,28.4,5.25,2015,14000
1302,Audi A6 2011-2015 2.0 TDI Premium Plus,Audi,Kochi,Diesel,Automatic,First,1968,174.33,5,17.68,21.56,2014,57456
1303,BMW 5 Series 520d Luxury Line,BMW,Coimbatore,Diesel,Automatic,First,1995,190,5,22.48,24.68,2012,44450
1304,Hyundai i20 Magna Optional 1.2,Hyundai,Delhi,Petrol,Manual,First,1197,82.9,5,18.5,3.67,2013,63777
1305,BMW X1 M Sport sDrive 20d,BMW,Mumbai,Diesel,Automatic,First,1995,190,5,17.05,29.5,2016,31000
1306,Toyota Etios G,Toyota,Delhi,Petrol,Manual,First,1496,88.73,5,17.6,3.1,2012,60000
1307,Tata Indigo LX,Tata,Ahmedabad,Diesel,Manual,First,1405,70,5,17,2.9,2015,78008
1308,Mercedes-Benz M-Class ML 350 4Matic,MercedesBenz,Bangalore,Diesel,Automatic,Second,2987,165,5,0,43,2014,33000
1309,Volkswagen Beetle 2.0,Volkswagen,Mumbai,Petrol,Automatic,First,1984,114.4,4,10.98,15.95,2009,27078
1310,Volkswagen Polo GT TDI,Volkswagen,Hyderabad,Diesel,Manual,First,1598,103.6,5,19.7,4.5,2011,57275
1311,Hyundai Grand i10 CRDi Magna,Hyundai,Delhi,Diesel,Manual,First,1120,70,5,24,3.49,2014,45000
1312,Maruti Swift VDI BSIV,Maruti,Delhi,Diesel,Manual,First,1248,74,5,25.2,4.25,2014,57319
1313,Hyundai Verna CRDi 1.4 E,Hyundai,Chennai,Diesel,Manual,Second,1396,88.76,5,24,1.9,2008,121097
1314,BMW 5 Series 2003-2012 525d,BMW,Mumbai,Diesel,Automatic,First,1995,218,5,16.73,16.57,2011,89000
1315,Honda City 1.5 S MT,Honda,Bangalore,Petrol,Manual,First,1497,118,5,17,5.75,2012,72000
1316,Audi A4 2.0 TDI,Audi,Delhi,Diesel,Automatic,Second,1968,147.51,5,16.55,14,2013,36000
1317,Fiat Linea Classic Plus 1.3 Multijet,Fiat,Jaipur,Diesel,Manual,Second,1248,75,5,19.5,2.5,2013,86000
1318,Honda City 1.3 EXI,Honda,Ahmedabad,Petrol,Manual,First,1343,90,5,13,1.2,2002,85000
1319,Fiat Petra 1.2 EL,Fiat,Pune,Petrol,Manual,Second,1242,74,5,15.5,0.85,2005,120000
1320,BMW 3 Series 320d Luxury Line,BMW,Kochi,Diesel,Automatic,First,1995,190,5,22.69,13.95,2013,37613
1321,Ford Fiesta 1.4 Duratec EXI,Ford,Chennai,Petrol,Manual,First,1388,68,5,16.6,1.6,2007,100000
1322,Tata Nano XTA,Tata,Coimbatore,Petrol,Automatic,First,624,37.48,4,21.9,3.6,2016,5240
1323,Maruti Eeco 5 STR With AC Plus HTR CNG,Maruti,Mumbai,CNG,Manual,First,1196,73,5,15.1,4.5,2018,20000
1324,Maruti Ignis 1.2 Delta,Maruti,Coimbatore,Petrol,Manual,First,1197,81.8,5,20.89,6.06,2019,16862
1325,Maruti Swift Dzire ZXi,Maruti,Coimbatore,Petrol,Manual,Second,1298,85.8,5,17.5,5.29,2013,59254
1326,Ford Ecosport 1.5 DV5 MT Titanium,Ford,Jaipur,Diesel,Manual,First,1498,89.84,5,22.7,5.75,2014,60000
1328,Maruti Swift Dzire VXI,Maruti,Coimbatore,Petrol,Manual,First,1197,85.8,5,19.1,5.72,2014,47674
1329,Hyundai i10 Sportz AT,Hyundai,Kochi,Petrol,Automatic,First,1197,78.9,5,16.95,4.39,2014,61517
1330,Mahindra XUV500 W6 2WD,Mahindra,Coimbatore,Diesel,Manual,First,2179,140,7,15.1,11.05,2016,62946
1331,Hyundai i20 Magna 1.4 CRDi,Hyundai,Delhi,Diesel,Manual,Second,1396,88.73,5,22.54,4.83,2015,66823
1332,Maruti Wagon R CNG LXI,Maruti,Pune,CNG,Manual,First,998,67.04,5,33.54,2.96,2013,79494
1333,Hyundai i20 Asta 1.4 CRDi,Hyundai,Chennai,Diesel,Manual,Second,1396,88.76,5,21.27,4.5,2012,107000
1334,BMW 7 Series 730Ld,BMW,Mumbai,Diesel,Automatic,Second,2993,258,5,16.46,19.5,2011,55000
1335,Skoda Rapid 1.6 MPI AT Style Plus,Skoda,Mumbai,Petrol,Automatic,First,1598,103.52,5,14.3,8.75,2017,24000
1336,Audi Q7 45 TDI Quattro Technology,Audi,Mumbai,Diesel,Automatic,First,2967,245,7,14.75,67,2016,20002
1337,Honda City i VTEC VX,Honda,Kochi,Petrol,Manual,First,1497,117.3,5,17.4,8.4,2016,54317
1338,Hyundai Xcent 1.2 Kappa SX,Hyundai,Mumbai,Petrol,Manual,First,1197,82,5,19.1,4.99,2016,10200
1339,Honda City i DTec E,Honda,Coimbatore,Diesel,Manual,First,1498,98.6,5,26,8.18,2016,24337
1340,Honda Brio S Option MT,Honda,Pune,Petrol,Manual,First,1198,86.8,5,18.4,2.9,2012,79000
1341,Maruti Ciaz ZDi Plus SHVS,Maruti,Jaipur,Diesel,Manual,First,1248,88.5,5,28.09,7.1,2015,40500
1342,Maruti Swift Dzire VDI Optional,Maruti,Pune,Diesel,Manual,First,1248,74,5,26.59,7.05,2016,23000
1343,Honda CR-V 2.4L 4WD AT,Honda,Pune,Petrol,Automatic,First,2354,158.8,5,11.1,17.5,2015,63050
1344,Toyota Corolla Altis 2008-2013 1.8 VL AT,Toyota,Mumbai,Petrol,Automatic,Second,1794,138.1,5,14.53,3.41,2008,78000
1345,Maruti Baleno Vxi,Maruti,Pune,Petrol,Manual,First,1590,74,5,0,1.3,2005,70000
1346,Honda City 1.5 V MT,Honda,Coimbatore,Petrol,Manual,First,1497,118,5,17,5.68,2012,66245
1347,Mahindra Scorpio LX BS IV,Mahindra,Bangalore,Diesel,Manual,First,2179,120,9,12.05,4.1,2007,74112
1348,Skoda Laura 1.8 TSI Ambiente,Skoda,Delhi,Petrol,Manual,First,1798,157.8,5,13.4,4,2011,87670
1349,BMW 3 Series 320d Sport Line,BMW,Hyderabad,Diesel,Automatic,First,1995,184,5,18.88,30,2015,10000
1350,Maruti SX4 Zxi BSIII,Maruti,Chennai,Petrol,Manual,First,1586,104.68,5,15,1.8,2007,62493
1351,Maruti Ciaz VXi Plus,Maruti,Kochi,Petrol,Manual,First,1373,91.1,5,20.73,6.93,2015,44620
1352,Land Rover Range Rover 3.6 TDV8 Vogue SE Diesel,Land,Bangalore,Diesel,Automatic,First,4367,308,7,10.2,70,2012,66538
1353,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,Ahmedabad,Diesel,Manual,First,2494,100,7,12.99,7.9,2013,60000
1354,Hyundai Santro Xing GL,Hyundai,Kochi,Petrol,Manual,First,1086,62,5,0,2.78,2011,20842
1355,Hyundai Santa Fe 4WD AT,Hyundai,Chennai,Diesel,Automatic,First,2199,194.3,7,13.01,14.4,2014,110000
1356,Mercedes-Benz New C-Class C250 Avantgarde,MercedesBenz,Mumbai,Petrol,Automatic,Second,1796,186,5,11.74,13.5,2011,45000
1357,Maruti Wagon R LXI CNG,Maruti,Mumbai,CNG,Manual,Second,998,58.16,5,26.6,3.15,2014,40000
1358,Maruti Alto LXi,Maruti,Coimbatore,Petrol,Manual,First,796,46.3,5,19.7,2.88,2012,49008
1359,Maruti Alto 800 2016-2019 LXI,Maruti,Kolkata,Petrol,Manual,First,796,47.3,5,24.7,2.15,2016,31000
1360,Nissan Sunny 2011-2014 XV,Nissan,Pune,Petrol,Manual,First,1498,97.7,5,16.95,3.75,2013,8000
1361,Maruti Alto 800 2016-2019 VXI,Maruti,Mumbai,Petrol,Manual,First,796,47.3,5,24.7,3.6,2019,171
1362,Maruti Alto K10 VXI,Maruti,Kolkata,Petrol,Manual,First,998,67.1,5,24.07,3.6,2018,2100
1363,Hyundai Grand i10 1.2 Kappa Sportz AT,Hyundai,Coimbatore,Petrol,Automatic,First,1197,81.86,5,18.9,7.55,2018,20667
1364,Honda Mobilio S i DTEC,Honda,Kolkata,Diesel,Manual,First,1498,98.6,7,24.2,4.7,2015,50000
1365,Tata Manza Aqua Quadrajet,Tata,Jaipur,Diesel,Manual,Second,1248,90,5,18.8,1.6,2010,100030
1366,Chevrolet Optra Magnum 2.0 LT,Chevrolet,Pune,Diesel,Manual,First,1991,123.7,5,16.52,3.34,2011,75372
1367,Honda City i VTEC CVT VX,Honda,Kochi,Petrol,Automatic,First,1497,117.3,5,18,9.1,2016,60475
1368,Hyundai Grand i10 1.2 Kappa Sportz,Hyundai,Kochi,Petrol,Manual,First,1197,81.86,5,18.9,6.17,2019,18453
1369,Hyundai Verna CRDi 1.6 SX,Hyundai,Hyderabad,Diesel,Manual,First,1582,126.2,5,22,2.5,2008,96578
1370,Nissan Micra XL,Nissan,Kolkata,Petrol,Manual,First,1198,75,5,18.44,3,2016,31001
1371,Hyundai Verna 1.6 SX,Hyundai,Jaipur,Diesel,Manual,First,1582,126.32,5,22.32,5.75,2012,65900
1372,Hyundai Creta 1.6 VTVT E Plus,Hyundai,Bangalore,Petrol,Manual,First,1591,121.3,5,15.29,10.75,2017,26246
1373,Maruti Wagon R VXI BS IV,Maruti,Jaipur,Petrol,Manual,Second,998,67.04,5,20.51,2.85,2013,62700
1374,Honda Accord 2.4 Elegance A/T,Honda,Chennai,Petrol,Automatic,First,2354,180,5,10.2,6.5,2008,90000
1375,Honda City 1.5 S AT,Honda,Bangalore,Petrol,Automatic,First,1497,118,5,16.8,9.45,2016,36000
1376,Maruti Baleno Alpha 1.3,Maruti,Delhi,Diesel,Manual,First,1248,74,5,27.39,6.75,2016,46000
1377,Honda City i DTec V,Honda,Coimbatore,Diesel,Manual,First,1498,98.6,5,26,7.75,2017,73003
1378,Hyundai i20 Era 1.4 CRDi,Hyundai,Kochi,Diesel,Manual,First,1396,88.76,5,22.54,4.4,2014,46566
1379,Mercedes-Benz E-Class 2015-2017 E350 Edition E,MercedesBenz,Jaipur,Diesel,Automatic,First,2987,265,5,13,42,2015,41493
1380,Nissan Terrano XV 110 PS,Nissan,Kochi,Diesel,Manual,First,1461,108.5,5,19.01,5.67,2014,103788
1381,Renault Duster 110PS Diesel RxZ AMT,Renault,Bangalore,Diesel,Automatic,First,1461,108.45,5,19.6,11.5,2016,45000
1382,Maruti Wagon R LXI Minor,Maruti,Pune,Petrol,Manual,First,998,67.1,5,18.9,1.69,2009,120000
1383,Hyundai Getz 1.5 CRDi GVS,Hyundai,Jaipur,Diesel,Manual,Second,1493,110,5,17.1,1.8,2009,97359
1384,Maruti Ritz LXi,Maruti,Mumbai,Petrol,Manual,First,1197,85.8,5,18.5,3.2,2016,62000
1386,BMW 5 Series 520d Sport Line,BMW,Kochi,Diesel,Automatic,First,1995,187.74,5,22.48,45.86,2019,18373
1387,Volkswagen Polo 1.2 MPI Highline,Volkswagen,Hyderabad,Petrol,Manual,First,1198,74,5,16.47,5.1,2016,60453
1388,Maruti Swift VDI BSIV,Maruti,Pune,Diesel,Manual,First,1248,74,5,17.8,4.85,2013,37000
1389,Ford Figo Petrol ZXI,Ford,Mumbai,Petrol,Manual,Second,1196,70,5,15.6,2.4,2010,69009
1390,BMW 3 Series 320d Luxury Line,BMW,Hyderabad,Diesel,Automatic,First,1995,184,5,18.88,22,2013,30000
1391,Hyundai Verna 1.6 SX CRDi (O),Hyundai,Delhi,Diesel,Manual,First,1582,126.32,5,22.32,4.28,2012,70707
1392,Renault Duster 85PS Diesel RxL,Renault,Coimbatore,Diesel,Manual,First,1461,83.8,5,20.45,5.67,2015,64677
1393,Hyundai Grand i10 1.2 Kappa Magna AT,Hyundai,Bangalore,Petrol,Automatic,First,1197,81.86,5,18.9,6.2,2018,3000
1394,BMW X1 sDrive20d,BMW,Bangalore,Diesel,Automatic,Second,1995,184,5,17.05,14.49,2013,49000
1395,Maruti Ritz VDi,Maruti,Pune,Diesel,Manual,First,1248,73.9,5,21.1,3,2010,71000
1396,Hyundai i10 Era 1.1 iTech SE,Hyundai,Jaipur,Petrol,Manual,Second,1086,68.05,5,19.81,2.25,2010,52000
1397,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,BMW,Kochi,Diesel,Automatic,First,2993,258,7,15.97,43.78,2016,35659
1398,Honda City V MT Exclusive,Honda,Kochi,Petrol,Manual,First,1497,116.3,5,16.8,11.45,2019,5377
1399,Mahindra Ssangyong Rexton RX7,Mahindra,Delhi,Diesel,Automatic,First,2696,184,7,11.18,10.5,2014,65000
1400,Ford Ecosport 1.5 DV5 MT Titanium Optional,Ford,Coimbatore,Diesel,Manual,First,1498,89.84,5,22.7,7.48,2015,92708
1401,Maruti Alto LXi,Maruti,Coimbatore,Petrol,Manual,First,796,46.3,5,19.7,3.1,2010,48105
1402,Volkswagen Polo 1.2 MPI Highline,Volkswagen,Mumbai,Petrol,Manual,First,1198,74,5,16.47,2.55,2011,46759
1403,Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,Jaipur,Diesel,Manual,First,1199,73.9,5,22.07,3.5,2013,62000
1404,Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Kolkata,Diesel,Manual,First,1199,73.9,5,22.07,2.59,2012,35175
1405,Maruti Ertiga ZDI,Maruti,Kolkata,Diesel,Manual,First,1248,88.8,7,20.77,5.45,2013,70000
1406,Ford EcoSport 1.5 TDCi Ambiente,Ford,Kolkata,Diesel,Manual,First,1498,98.59,5,22.77,6,2017,30000
1407,Toyota Innova Crysta 2.8 ZX AT,Toyota,Kolkata,Diesel,Automatic,First,2755,171.5,7,11.36,15.49,2016,66618
1408,BMW 5 Series 523i Sedan,BMW,Mumbai,Petrol,Automatic,Second,2497,150,5,10.8,12.5,2010,69300
1409,Maruti Swift Dzire Tour LDI,Maruti,Kolkata,Diesel,Manual,First,1248,74,5,23.4,4.75,2017,148000
1410,Ford Ecosport 1.0 Ecoboost Platinum Edition,Ford,Mumbai,Petrol,Manual,First,999,123.24,5,18.88,7.85,2017,22000
1411,Hyundai Verna CRDi SX,Hyundai,Ahmedabad,Diesel,Manual,First,1493,110,5,16.8,6,2013,75000
1412,Tata Zest Revotron 1.2T XM,Tata,Mumbai,Petrol,Manual,First,1193,88.7,5,17.57,4,2016,43706
1413,Audi A7 2011-2015 3.0 TDI Quattro,Audi,Mumbai,Diesel,Automatic,First,2967,241.4,5,14.4,28.75,2011,42000
1414,Tata Indica Vista Quadrajet VX,Tata,Pune,Diesel,Manual,First,1248,74,5,22.3,2.5,2012,65000
1415,Maruti Swift Dzire VDI,Maruti,Delhi,Diesel,Manual,First,1248,74,5,26.59,5.5,2015,76128
1416,Fiat Linea Emotion,Fiat,Kolkata,Petrol,Manual,First,1368,90,5,16,1.59,2010,39852
1417,Hyundai i20 1.2 Spotz,Hyundai,Mumbai,Petrol,Manual,First,1197,81.83,5,18.6,6.22,2017,18673
1418,Hyundai EON Era Plus,Hyundai,Kolkata,Petrol,Manual,First,814,55.2,5,21.1,2.75,2016,11583
1419,Hyundai Santro Xing XL,Hyundai,Chennai,Petrol,Manual,Second,1086,74,5,0,1.35,2007,82000
1420,Mercedes-Benz GLA Class 200 CDI SPORT,MercedesBenz,Pune,Diesel,Automatic,First,2143,136,5,17.9,25,2017,50000
1421,Maruti Celerio VXI,Maruti,Delhi,Petrol,Manual,First,998,67.04,5,23.1,2.8,2014,77000
1422,Chevrolet Beat LT,Chevrolet,Mumbai,Petrol,Manual,Second,1199,76.8,5,17.8,2.45,2014,54890
1423,Honda Jazz 1.2 V AT i VTEC Privilege,Honda,Pune,Petrol,Automatic,First,1199,88.7,5,19,6.35,2016,21000
1424,BMW 3 Series 320d Highline,BMW,Mumbai,Diesel,Automatic,Third,1995,181,5,16.07,8,2009,58557
1425,Renault Duster 110PS Diesel RxL,Renault,Bangalore,Diesel,Manual,First,1461,108.45,5,19.01,8.25,2014,70000
1426,Ford Figo 2015-2019 1.5P Titanium AT,Ford,Mumbai,Petrol,Automatic,First,1499,110.4,5,17.01,5.95,2017,16000
1427,Toyota Innova Crysta 2.4 VX MT,Toyota,Kochi,Diesel,Manual,First,2393,147.8,7,13.68,19.92,2018,8899
1428,Chevrolet Beat Diesel LS,Chevrolet,Kochi,Diesel,Manual,First,936,56.3,5,25.44,3.15,2016,83629
1429,Volkswagen Polo GTI,Volkswagen,Chennai,Petrol,Automatic,First,1798,189,4,17.21,5.75,2014,35059
1430,Ford Endeavour 3.2 Trend AT 4X4,Ford,Kochi,Diesel,Automatic,First,3198,197.2,7,10.91,32.44,2018,30552
1431,Hyundai Verna 1.6 SX CRDI (O) AT,Hyundai,Kochi,Diesel,Automatic,Second,1582,126.32,5,22.32,8.01,2016,44875
1432,Ford Figo 2015-2019 1.2P Titanium Opt MT,Ford,Coimbatore,Petrol,Manual,First,1196,86.8,5,18.16,6.48,2017,25095
